name,description,price,category,image
"Salade César","Salade verte avec poulet grillé, parmesan et croûtons","8.90","starters","https://images.unsplash.com/photo-1562967916-eb82221dfb30?auto=format&fit=crop&w=800&q=80"
"Soupe à l'oignon","Soupe traditionnelle française gratinée au fromage","7.50","starters","https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=800&q=80"
"Terrine de foie gras","Foie gras maison accompagné de son chutney","15.00","starters","https://images.unsplash.com/photo-1572441710577-cb2697b7b0a4?auto=format&fit=crop&w=800&q=80"
"Steak frites","Entrecôte grillée servie avec des frites maison","19.90","mains","https://images.unsplash.com/photo-1551183053-bf91a1d81141?auto=format&fit=crop&w=800&q=80"
"Poulet rôti","Poulet fermier rôti aux herbes de Provence","17.50","mains","https://images.unsplash.com/photo-1600891964599-f61ba0e24092?auto=format&fit=crop&w=800&q=80"
"Gratin dauphinois","Pommes de terre gratinées à la crème et au fromage","10.00","mains","https://images.unsplash.com/photo-1604908177521-9e3b341f4466?auto=format&fit=crop&w=800&q=80"
"Tarte Tatin","Tarte aux pommes caramélisées renversée","6.90","desserts","https://images.unsplash.com/photo-1527515637462-90f49f83a48d?auto=format&fit=crop&w=800&q=80"
"Mousse au chocolat","Mousse légère au chocolat noir","5.50","desserts","https://images.unsplash.com/photo-1578985545062-69928b1d9587?auto=format&fit=crop&w=800&q=80"
"Crème brûlée","Crème à la vanille avec caramel croquant","6.50","desserts","https://images.unsplash.com/photo-1505253210343-02e3b99f7f5d?auto=format&fit=crop&w=800&q=80"
"Café espresso","Café noir intense et corsé","2.50","drinks","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=800&q=80"
"Thé vert","Thé vert parfumé et rafraîchissant","3.00","drinks","https://images.unsplash.com/photo-1517686469429-7f89fa0a229e?auto=format&fit=crop&w=800&q=80"
"Jus d'orange frais","Jus d'orange pressé maison","3.50","drinks","https://images.unsplash.com/photo-1509042239860-f550ce710b93?auto=format&fit=crop&w=800&q=80"
"Bruschetta","Pain grillé à la tomate et basilic","7.00","starters","https://images.unsplash.com/photo-1568605114967-8130f3a36994?auto=format&fit=crop&w=800&q=80"
"Raviolis maison","Raviolis farcis au fromage et épinards","16.00","mains","https://images.unsplash.com/photo-1586190848861-99aa4a171e90?auto=format&fit=crop&w=800&q=80"
"Filet de saumon","Saumon grillé accompagné de légumes","18.50","mains","https://images.unsplash.com/photo-1543352634-ef3e4a43a6f0?auto=format&fit=crop&w=800&q=80"
"Profiteroles","Choux garnis de crème glacée et nappés de chocolat","7.50","desserts","https://images.unsplash.com/photo-1559628230-27d8a2898197?auto=format&fit=crop&w=800&q=80"
"Smoothie fraise-banane","Smoothie frais avec fruits rouges et banane","4.50","drinks","https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=800&q=80"
"Salade Niçoise","Salade composée avec thon, œufs, olives et légumes","9.50","starters","https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=800&q=80"
"Burger végétarien","Burger maison aux légumes grillés et sauce spéciale","14.00","mains","https://images.unsplash.com/photo-1550547660-d9450f859349?auto=format&fit=crop&w=800&q=80"
"Tiramisu","Dessert italien au café et mascarpone","6.00","desserts","https://images.unsplash.com/photo-1578985545062-69928b1d9587?auto=format&fit=crop&w=800&q=80"
"Eau minérale","Bouteille d'eau plate ou gazeuse","2.00","drinks","https://images.unsplash.com/photo-1528825871115-3581a5387919?auto=format&fit=crop&w=800&q=80"
